antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'No', 'Yes', '4.0'})",frozenset({'1'}),0.1226479337658148,0.5854987276441704,0.0796745636357119,0.6496201052016365,1.10951582732804,1.0,0.0078643544676409,1.1830052994175553,0.1125043936325787,0.1267750213857998,0.1546952490471993,0.3928499644519446
"frozenset({'Yes', 'Moderate', '5.0'})","frozenset({'Very Low', '1'})",0.0810006809791763,0.4594458979964876,0.0526146016271818,0.6495575221238938,1.4137845717122053,1.0,0.0153991710163771,1.5424902405655785,0.3184753811456809,0.1078539416648299,0.351697680995807,0.3820375175952178
"frozenset({'Very Hight', '3.0', ""'Less than 5 hours'"", 'Male'})",frozenset({'1'}),0.0236192251173793,0.5854987276441704,0.0153399519730475,0.6494688922610015,1.1092575638451396,1.0,0.0015109257188807,1.182494971785678,0.1008787969648295,0.0258344902517051,0.1543304421075834,0.3378343481873078
"frozenset({""'7-8 hours'"", 'Yes', '5.0'})","frozenset({'Very Low', '1'})",0.0642987706533816,0.4594458979964876,0.0417547758144869,0.6493868450390189,1.413413087092103,1.0,0.0122129693915738,1.541739362471067,0.3125920382789152,0.08662998215348,0.3513819363104141,0.370133784482221
"frozenset({'Very Low', 'Unhealthy', '2.0', 'Yes', 'Female'})",frozenset({'1'}),0.0186014838177843,0.5854987276441704,0.0120784201283108,0.649325626204239,1.1090128732079132,1.0,0.0011872750207044,1.182011870069646,0.1001603427233598,0.020401985712556,0.1539848073259378,0.3349774556094652
"frozenset({'Low', '3.0', 'Unhealthy'})","frozenset({'Yes', '1'})",0.0570230457689688,0.5434572237554209,0.0370237625891545,0.6492771841609051,1.194716264279721,1.0,0.0060341764454723,1.301719636209902,0.1728368624446845,0.0657082882768271,0.2317854227722886,0.3587017721899295
"frozenset({""'Less than 5 hours'"", 'Unhealthy', 'Male', 'Very Hight', 'Yes'})","frozenset({'Very Low', '1'})",0.0343356868929429,0.4594458979964876,0.0222931077739149,0.6492693110647182,1.4131572703031985,1.0,0.0065177172760605,1.54122270749811,0.3027601559228348,0.0472824021284682,0.3511645039130554,0.3488955183141674
"frozenset({'Low', '5.0', ""'More than 8 hours'""})","frozenset({'Yes', '1'})",0.0390308591089925,0.5434572237554209,0.0253395935629547,0.6492194674012856,1.1946100613310868,1.0,0.0041279912307926,1.3015054537443629,0.1695234100038805,0.0454808620135091,0.231659001410211,0.3479230621976421
"frozenset({'12.0', 'Very Hight', 'Unhealthy', 'No'})","frozenset({'Yes', '1'})",0.0163435002329665,0.5434572237554209,0.0106089387477151,0.6491228070175439,1.194432199340269,1.0,0.001726945484661,1.3011469122970505,0.1654867474506754,0.0193173660510343,0.2314472788975107,0.3343220049728622
"frozenset({'Male', 'Unhealthy'})","frozenset({'Yes', '1'})",0.2212465503028565,0.5434572237554209,0.1436149241962653,0.6491171229548032,1.1944217402599726,1.0,0.0233768882032108,1.3011258346065495,0.2090196629388997,0.2312308846442379,0.2314348286671348,0.4566894062970283
"frozenset({'Male', '5.0', 'Healthy'})",frozenset({'1'}),0.033296297623741,0.5854987276441704,0.0216121285975413,0.6490850376749193,1.10860196107786,1.0,0.0021171887035792,1.1812014785845577,0.1013371399958043,0.0361901332373064,0.1534043783975723,0.3429986892586154
"frozenset({'Low', '4.0', 'Yes', 'Healthy', 'Hight'})",frozenset({'1'}),0.0230816099781369,0.5854987276441704,0.0149815418802193,0.6490683229813664,1.108573413289857,1.0,0.0014672886060411,1.1811452185714788,0.100253777924217,0.0252384977659702,0.1533640535670648,0.3373279910695275
"frozenset({'Very Low', 'Very Hight', '5.0', ""'5-6 hours'"", 'No'})",frozenset({'1'}),0.0169527973907745,0.5854987276441704,0.0110031898498261,0.6490486257928118,1.1085397715625147,1.0,0.0010773485475182,1.1810789266524535,0.0996008976299926,0.0186038055993213,0.1533165333545388,0.3339207379698632
"frozenset({'Moderate', 'Hight', 'Male', '10.0'})","frozenset({'Yes', '1'})",0.0203218522633597,0.5434572237554209,0.0131894914160782,0.6490299823633158,1.194261395364959,1.0,0.0021454340034649,1.3008027845762633,0.166036545503132,0.0239552141648222,0.2312439580718224,0.3366497930018781
"frozenset({'Very Low', 'Moderate', 'Male', 'Yes', ""'5-6 hours'"", 'Hight'})",frozenset({'1'}),0.016235977205118,0.5854987276441704,0.0105372567291494,0.6490066225165563,1.1084680322499043,1.0,0.001031112733493,1.1809375872779295,0.099468977331533,0.0178235829039102,0.1532151988616028,0.3335018421103839
"frozenset({'Very Low', '11.0', ""'5-6 hours'""})",frozenset({'1'}),0.0175620945485824,0.5854987276441704,0.0113974409519372,0.6489795918367346,1.1084218653181153,1.0,0.0011148569389755,1.1808466479904445,0.0995649958275484,0.0192633874485098,0.1531499863239716,0.3342229007175837
